,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
421,19149,01,06,27,28,31,33,07
422,19148,09,10,13,20,26,27,08
423,19147,01,09,12,14,23,27,12
424,19146,01,04,10,12,30,32,14
425,19145,01,08,13,17,18,19,16
426,19144,02,12,15,19,27,30,03
427,19143,05,13,15,16,26,32,09
428,19142,08,14,24,27,29,33,09
429,19141,10,13,14,15,17,33,14
430,19140,02,04,09,11,14,22,05
431,19139,08,14,20,23,30,33,11
432,19138,02,06,12,30,31,32,11
433,19137,07,10,13,19,23,31,06
434,19136,12,14,15,17,29,33,12
435,19135,03,06,10,11,27,33,03
436,19134,01,04,06,22,29,30,03
437,19133,03,07,16,21,24,31,07
438,19132,04,06,11,14,19,33,07
439,19131,09,17,19,20,24,31,04
440,19130,01,07,09,11,24,32,16
441,19129,03,04,07,09,15,26,07
442,19128,03,08,12,16,17,19,08
443,19127,02,06,07,12,17,24,10
444,19126,02,14,17,29,32,33,16
445,19125,02,11,12,26,27,29,03
446,19124,04,09,30,31,32,33,01
447,19123,02,06,08,17,28,30,06
448,19122,04,10,15,19,21,23,02
449,19121,02,06,15,21,30,31,02
450,19120,10,12,27,31,32,33,03
451,19119,04,20,22,24,26,33,07
452,19118,12,14,15,25,28,31,04
453,19117,03,05,11,28,32,33,01
454,19116,01,08,09,13,16,33,01
455,19115,04,10,11,14,15,29,05
456,19114,02,04,09,11,12,30,01
457,19113,01,05,19,21,25,33,15
458,19112,03,12,14,17,23,27,01
459,19111,07,18,20,22,24,33,01
460,19110,01,18,22,26,27,28,08
461,19109,03,06,07,17,28,31,10
462,19108,07,13,19,22,25,32,13
463,19107,02,06,08,23,27,32,02
464,19106,02,14,22,27,30,33,14
465,19105,02,13,15,17,26,33,01
466,19104,01,05,16,17,18,24,10
467,19103,04,12,14,21,27,29,12
468,19102,03,08,12,16,20,32,12
469,19101,01,04,09,21,31,33,05
470,19100,01,04,12,13,30,32,08
471,19099,07,14,22,23,27,30,08
472,19098,03,11,12,14,17,26,09
473,19097,03,05,18,24,25,31,09
